Similarity Votes,rating
0.0,2539509
1.0,4307275
2.0,4907054
3.0,4136032
4.0,3638166
5.0,2536657
6.0,2004850
7.0,2376812
8.0,1605410
9.0,1103126
10.0,1093438
11.0,845218
12.0,904084
13.0,934168
14.0,854636
15.0,646976
16.0,771511
17.0,507686
18.0,939189
19.0,1149631
20.0,481622
21.0,734648
22.0,633644
23.0,508459
24.0,925652
25.0,412843
26.0,173634
27.0,457204
28.0,655846
29.0,211988
30.0,337444
31.0,267321
32.0,472605
33.0,331974
34.0,527928
35.0,178263
36.0,47110
37.0,184909
38.0,126626
39.0,26087
40.0,281105
41.0,311381
42.0,194982
43.0,339590
44.0,417493
45.0,178417
46.0,343446
47.0,175538
48.0,143255
49.0,20244
50.0,132754
51.0,137062
52.0,369011
53.0,150606
54.0,30039
55.0,70770
56.0,42158
57.0,143180
58.0,195100
59.0,275294
60.0,129385
61.0,124747
62.0,74345
63.0,63752
64.0,152145
65.0,149717
66.0,201937
67.0,21735
68.0,157078
69.0,310178
70.0,207347
71.0,132899
72.0,54138
73.0,102473
74.0,66694
75.0,107128
76.0,38403
77.0,27202
78.0,61434
79.0,148016
80.0,104926
81.0,123786
82.0,51112
83.0,70509
84.0,156391
85.0,102430
86.0,5899
87.0,17929
88.0,23829
89.0,173
90.0,17527
91.0,136771
92.0,6184
93.0,146912
94.0,6176
95.0,40942
96.0,47619
97.0,26914
98.0,81508
99.0,2288
100.0,20887
101.0,142333
102.0,80719
103.0,3110
104.0,102411
105.0,300552
106.0,1560
107.0,20496
108.0,39137
109.0,360030
110.0,161668
111.0,3974
112.0,14609
113.0,255862
114.0,213851
115.0,51571
116.0,17433
117.0,7
118.0,6216
119.0,29561
120.0,278193
121.0,14956
122.0,12170
123.0,408
124.0,123486
125.0,19151
126.0,50315
127.0,18834
128.0,36256
129.0,17697
130.0,43947
132.0,2989
133.0,1901
134.0,534
135.0,54
137.0,174414
138.0,127257
139.0,282068
140.0,215967
141.0,171585
142.0,72998
143.0,59289
144.0,63861
145.0,14832
146.0,95129
147.0,7386
148.0,4762
149.0,74486
150.0,7205
151.0,3901
152.0,37941
153.0,39731
154.0,208
155.0,44068
156.0,121886
157.0,121
158.0,25133
159.0,64324
160.0,1016
161.0,70467
162.0,301
163.0,8824
164.0,170
165.0,1954
166.0,18319
167.0,98536
168.0,14
169.0,8463
170.0,126096
171.0,191677
172.0,184133
173.0,101391
175.0,6807
176.0,467
177.0,498
179.0,106737
180.0,130236
182.0,925
183.0,7982
184.0,4401
185.0,40
186.0,4627
188.0,172411
189.0,18249
190.0,14928
191.0,81690
192.0,212
193.0,36740
194.0,54999
195.0,29979
196.0,9315
197.0,61233
198.0,281
199.0,8582
200.0,283703
201.0,1421
203.0,12306
204.0,19425
205.0,46246
206.0,245
207.0,84
208.0,24
209.0,8310
210.0,1875
211.0,2746
212.0,1006
213.0,2804
214.0,79732
215.0,179
216.0,7697
218.0,885
219.0,33998
220.0,197817
221.0,581
222.0,11479
223.0,183
224.0,29684
225.0,1439
226.0,1572
227.0,4223
228.0,21138
229.0,14634
230.0,2069
231.0,209905
232.0,7256
235.0,2268
236.0,570
238.0,190956
239.0,20884
240.0,19
241.0,1132
242.0,7880
243.0,3226
244.0,73
245.0,84466
246.0,127007
248.0,218600
249.0,22525
250.0,1124
251.0,41877
252.0,197614
253.0,419
255.0,12278
256.0,151813
257.0,4313
258.0,2643
259.0,246
260.0,980
261.0,21162
262.0,155005
264.0,3212
265.0,62635
267.0,1174
270.0,1953
271.0,32
273.0,119
274.0,152
275.0,235385
277.0,69872
278.0,6403
279.0,1729
280.0,23811
281.0,29530
282.0,7577
285.0,19
287.0,9
289.0,150916
291.0,58123
293.0,5822
295.0,180
296.0,328
299.0,20812
300.0,82
301.0,77895
302.0,1505
304.0,531
305.0,3463
306.0,204
307.0,1040
308.0,22098
309.0,4201
310.0,365701
315.0,54
316.0,16149
317.0,155
318.0,4453
320.0,145184
321.0,11
323.0,56637
325.0,71684
326.0,10016
328.0,12179
329.0,87915
331.0,8650
333.0,29752
336.0,1348
338.0,63779
339.0,15
342.0,3988
343.0,90
345.0,159467
346.0,32747
347.0,18368
348.0,2817
350.0,305354
351.0,466
354.0,400
355.0,440
356.0,656
357.0,112
358.0,109934
359.0,4312
360.0,26658
361.0,218946
363.0,35947
364.0,24581
365.0,51
366.0,1669
369.0,381
370.0,3143
372.0,80444
373.0,1820
375.0,122518
376.0,2513
378.0,43003
380.0,147
381.0,29651
382.0,2435
385.0,912
386.0,3644
388.0,24819
389.0,106661
391.0,1036
393.0,383
394.0,101
402.0,5330
405.0,146
409.0,956
412.0,2663
413.0,2082
414.0,41636
415.0,1276
417.0,27865
418.0,15361
424.0,2112
425.0,2086
426.0,4764
427.0,1474
428.0,31242
429.0,343
431.0,467
435.0,638
436.0,1822
437.0,449
440.0,272
441.0,268624
442.0,148261
444.0,37275
448.0,943
451.0,7668
453.0,39138
456.0,210400
457.0,8381
459.0,11799
462.0,16739
463.0,21545
464.0,678
469.0,8349
470.0,60312
471.0,5736
473.0,1392
475.0,1067
477.0,3141
481.0,195
485.0,91
487.0,3423
488.0,175612
489.0,384
490.0,3812
492.0,76268
494.0,604
496.0,457
499.0,22855
500.0,482
501.0,119
504.0,80
506.0,326
509.0,203
510.0,2155
511.0,38980
513.0,50918
514.0,15550
517.0,9108
518.0,9882
522.0,201
523.0,91797
524.0,287378
525.0,34836
527.0,88468
529.0,6817
530.0,11444
531.0,5993
533.0,98
535.0,11604
537.0,60153
539.0,2254
540.0,362
541.0,24039
542.0,136
545.0,76572
547.0,281788
550.0,16675
551.0,39784
553.0,3254
554.0,197
556.0,17372
557.0,6573
558.0,41017
561.0,30
562.0,601
564.0,222
566.0,11879
569.0,38056
572.0,93
574.0,228400
575.0,313
576.0,7580
579.0,5141
580.0,49470
582.0,5300
584.0,4348
587.0,11067
588.0,4971
590.0,678
592.0,5228
593.0,143
594.0,110
595.0,10895
596.0,31316
597.0,44831
598.0,2170
601.0,1812
607.0,14754
613.0,1704
614.0,25400
615.0,19661
616.0,1160
617.0,3704
618.0,68404
620.0,10496
621.0,22134
622.0,3043
624.0,1111
625.0,121
628.0,363
629.0,47
633.0,118417
635.0,18062
636.0,20
637.0,217433
639.0,9583
640.0,11765
641.0,61
642.0,894
643.0,40128
644.0,15115
645.0,15268
647.0,100631
648.0,4030
652.0,175535
653.0,37268
654.0,5605
655.0,161754
660.0,15006
661.0,40
662.0,1018
663.0,29485
665.0,73167
666.0,1105
667.0,10164
668.0,61217
669.0,9997
670.0,45946
672.0,31999
673.0,20501
675.0,2303
678.0,3899
679.0,9101
680.0,203741
683.0,10195
685.0,2753
686.0,25639
688.0,184830
690.0,3736
692.0,2066
697.0,8734
698.0,4537
699.0,30667
700.0,77339
704.0,43633
708.0,65879
711.0,82
712.0,758
713.0,10946
714.0,1374
716.0,175481
718.0,9165
719.0,20668
723.0,8648
728.0,4308
729.0,262
731.0,13803
732.0,31619
733.0,71444
737.0,91651
738.0,961
739.0,117508
741.0,7537
742.0,237
743.0,82044
744.0,30232
745.0,12797
751.0,54
752.0,24
753.0,141216
762.0,1694
763.0,660
766.0,32955
767.0,11899
768.0,13390
770.0,79573
788.0,86376
798.0,554
799.0,4781
803.0,215
804.0,116802
805.0,11762
808.0,54594
818.0,131
823.0,17553
824.0,46
826.0,38435
836.0,4255
848.0,714
853.0,89621
859.0,129
860.0,34681
877.0,131
881.0,1116
883.0,718
889.0,2729
915.0,742
921.0,680
939.0,10170
955.0,200
963.0,60
997.0,33
1042.0,49
1090.0,846
1158.0,256
1181.0,569
1191.0,245
1302.0,122
1328.0,22
1454.0,104
1455.0,69
