,rating,revenue
0,8,361958736
1,2,327311859
2,20,346079773
3,2,23341568
4,1,25836616
5,1,210000000
6,2,336529144
7,1,110627965
8,1,5535405
9,2,0
10,1,0
11,1,0
12,2,213928762
13,1,28341469
14,1,0
15,1,0
16,3,677945399
17,1,0
18,1,0
19,2,321265768
20,5,32768670
21,30,504050219
22,6,520000000
23,2,272742922
24,10,377350553
25,1,0
26,7,0
27,1,0
28,1,0
29,20,816969268
30,3,100138851
31,2,0
32,1,0
33,1,56715371
34,1,0
35,2,138708852
36,2,165615285
37,1,356830601
38,2,90000098
39,4,538400000
40,1,389925971
41,2,131060248
42,2,13129846
43,2,572700000
44,6,46836394
45,1,104931801
46,2,47542841
47,1,78371200
48,1,44017374
49,2,5000000
50,1,90000000
51,1,474171806
52,2,240031094
53,1,70200000
54,5,280000000
55,4,229074524
56,1,0
57,7,252712101
58,2,589390539
59,1,0
60,1,87840042
61,1,264118201
62,2,314178011
63,1,0
64,1,140464664
65,2,0
66,1,0
67,25,304320254
68,1,189198313
69,1,285444603
70,1,3221152
71,1,0
72,2,354825435
73,3,332000000
74,2,244527583
75,1,84563118
76,3,30925690
77,1,0
78,2,205843612
79,1,51000000
80,1,333000000
81,4,0
82,7,27100027
83,1,7000000
84,1,229400000
85,1,0
86,1,125212904
87,2,77200000
88,10,463517383
89,2,300218018
90,2,108185706
91,1,75800000
92,2,19300000
93,2,0
94,7,0
95,2,60000000
96,2,61698899
97,4,261317921
98,1,70136369
99,2,59600000
100,1,358991681
101,6,100853753
102,1,42365581
103,1,22863596
104,1,32056467
105,6,485015179
106,1,300135367
107,1,0
108,1,9
109,1,457640427
110,3,157299717
111,1,15843608
112,2,0
113,1,7390108
114,6,169327687
115,2,39723096
116,2,433013274
117,1,0
118,7,484409218
119,1,0
120,1,207283925
121,2,235926552
122,1,141774679
123,1,84460846
124,1,84460846
125,1,0
126,2,368780809
127,2,368780809
128,1,362211740
129,1,362211740
130,1,165335153
131,1,165335153
132,3,287553595
133,3,287553595
134,2,0
135,17,0
136,16,976475550
137,16,976475550
138,1,450717150
139,1,450717150
140,5,80936232
141,5,80936232
142,31,871368364
143,31,871368364
144,1,0
145,1,31042035
146,1,31042035
147,1,0
148,1,25482931
149,1,25482931
150,10,383257136
151,10,383257136
152,1,9801375
153,1,9801375
154,6,821708551
155,6,821708551
156,2,649398328
157,2,649398328
158,1,0
159,10,214034224
160,10,214034224
161,1,441818803
162,1,441818803
163,1,169956806
164,1,169956806
165,2,119723358
166,2,119723358
167,1,0
168,1,180622424
169,1,180622424
170,2,209196298
171,2,209196298
172,1,0
173,4,876688482
174,4,876688482
175,32,926287400
176,1,13060843
177,1,0
178,2,0
179,1,17432163
180,1,177371441
181,1,135680000
182,1,0
183,3,214948780
184,3,738599701
185,6,864625978
186,1,236350661
187,5,435000000
188,23,655011224
189,1,0
190,1,0
191,1,95708457
192,1,156822020
193,9,250
194,3,424988211
195,1,79567667
196,25,1118888979
197,1,96269812
198,1,12
199,1,30411183
200,2,72000000
201,1,0
202,1,0
203,1,497409852
204,3,0
205,1,0
206,7,0
207,1,0
208,1,0
209,9,783766341
210,6,176000000
211,1,96105964
212,1,95149435
213,1,0
214,1,6347072
215,16,631442092
216,1,347451894
217,1,128905366
218,1,0
219,2,0
220,1,0
221,2,0
222,1,660537
223,1,0
224,2,0
225,4,0
226,1,0
227,11,0
228,1,0
229,1,0
230,1,0
231,1,0
232,1,0
233,1,0
234,1,0
235,1,0
236,1,0
237,11,0
238,3,0
239,3,0
240,1,0
241,1,0
242,1,0
243,2,660940780
244,3,132511035
245,1,33889159
246,1,24793509
247,1,0
248,2,234360014
249,25,461983149
250,1,119188334
251,4,1065659812
252,2,391081192
253,1,0
254,1,123384128
255,1,16627188
256,1,289847354
257,1,0
258,1,65900249
259,6,599045960
260,1,194168700
261,1,0
262,3,623722818
263,1,145896422
264,1,0
265,1,0
266,1,84146832
267,1,169332978
268,4,890871626
269,1,219076518
270,2,798958165
271,10,961000000
272,1,4354510
273,1,2294291
274,2,0
275,1,383531464
276,1,709709780
277,24,938212738
278,2,227471070
279,1,25303038
280,1,0
281,1,0
282,7,340487652
283,2,37707444
284,1,231411584
285,1,152000000
286,4,41797066
287,2,160300000
288,2,170764026
289,1,0
290,1,0
291,1,297138014
292,15,1001921825
293,1,105173115
294,26,585174222
295,1,0
296,3,631744560
297,1,0
298,4,163712074
299,7,521311860
300,3,0
301,2,0
302,1,0
303,3,101702060
304,1,68369434
305,1,0
306,2,603900354
307,6,586090727
308,1,308332675
309,3,392616625
310,1,0
311,1,333932083
312,1,177259441
313,1,155446362
314,2,363164265
315,2,319131050
316,1,9760104
317,6,385680446
318,2,356613439
319,6,371353001
320,7,731342744
321,1,459270619
322,1,0
323,2,317375031
324,6,836297228
325,1,886686817
326,20,933959197
327,6,210819611
328,2,41939392
329,1,48428063
330,3,102391382
331,3,4600000
332,3,709827462
333,1,0
334,9,2781505847
335,4,524028679
336,1,0
337,1,0
338,1,0
339,1,0
340,1,0
341,5,294804195
342,2,4706919
343,2,29536299
344,3,494878759
345,13,623933331
346,2,0
347,2,0
348,1,0
349,6,1063171911
350,9,543513985
351,5,825500000
352,8,293329073
353,1,0
354,1,6814789
355,2,49830607
356,1,0
357,1,224920315
358,1,2
359,1,105610124
360,1,0
361,1,321885765
362,1,327803731
363,1,51148651
364,9,954305868
365,1,591794936
366,1,278346189
367,2,0
368,1,0
369,1,252276927
370,1,0
371,1,0
372,1,26900000
373,1,0
374,2,189712432
375,1,242421099
376,1,27122040
377,1,214918407
378,1,0
379,1,177324359
380,13,484635760
381,20,444115007
382,7,1021683000
383,1,254455986
384,9,344420111
385,4,219851172
386,3,0
387,2,1123746996
388,1,0
389,2,117
390,9,559852396
391,1,0
392,2,0
393,1,0
394,1,1327817822
395,20,365762652
396,1,0
397,1,0
398,1,150483765
399,1,0
400,1,0
401,14,1518594910
402,1,299268508
403,4,0
404,1,554987477
405,1,3696232
406,3,180864507
407,2,712171856
408,1,9400000
409,6,691210692
410,13,1081041287
411,5,334615000
412,1,694713380
413,1,0
414,3,284139100
415,1,32204030
416,2,234989584
417,1,0
418,2,403170142
419,8,538983207
420,5,0
421,1,549368315
422,7,752215857
423,2,877244782
424,17,198802074
425,1,0
426,3,1108561013
427,1,107139399
428,1,49000000
429,1,0
430,3,0
431,7,47042000
432,1,240159255
433,2,33400000
434,1,376141306
435,1,0
436,1,358375603
437,1,232324128
438,7,471222889
439,1,30668
440,1,0
441,1,829000000
442,1,0
443,1,108348
444,25,1017003568
445,1,132820716
446,1,0
447,1,0
448,1,0
449,1,0
450,1,224803475
451,1,371876278
452,1,585178928
453,1,0
454,1,0
455,1,0
456,3,126041322
457,15,1215439994
458,8,467365246
459,2,788679850
460,1,268426634
461,4,243843127
462,1,117698894
463,2,662845518
464,1,0
465,10,743559607
466,3,407602906
467,1,531865000
468,1,0
469,8,970761885
470,4,415440673
471,1,0
472,5,347434178
473,1,90565421
474,2,716392705
475,1,0
476,2,3250000
477,1,0
478,13,479765000
479,1,55198285
480,1,0
481,3,847423452
482,27,958400000
483,11,1274219009
484,1,251171807
485,1,0
486,1,154984035
487,6,468760692
488,1,0
489,1,0
490,2,0
491,6,621752480
492,2,0
493,1,331169117
494,1,0
495,15,714766572
496,1,0
497,4,705717432
498,1,500188435
499,4,746000000
500,1,63464861
501,1,758410378
502,10,369200000
503,3,188441614
504,1,609123048
505,1,0
506,2,708200000
507,3,0
508,1,108782847
509,8,774176600
510,2,243400000
511,1,45300000
512,2,477200000
513,2,39407616
514,1,215529201
515,3,78739897
516,1,211817906
517,1,752100229
518,2,20
519,1,169837010
520,1,0
521,1,0
522,1,0
523,1,0
524,32,955119788
525,6,0
526,1,0
527,1,0
528,1,96000000
529,2,0
530,3,325771424
531,4,17752940
532,1,0
533,1,0
534,1,0
535,2,0
536,2,0
537,1,33621
538,1,0
539,1,0
540,1,0
541,1,50163103
542,1,0
543,1,0
544,1,0
545,1,0
546,2,71561644
547,9,542351353
548,1,0
549,1,368871007
550,1,0
551,1,0
552,2,0
553,1,0
554,3,0
